date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,50,17,64,0,0,0,95,0,0,0,23
2020-04-02,25,100,64,0,0,0,0,0,0,0,23
2020-04-03,52,52,0,0,0,0,66,0,0,0,24
2020-04-04,100,19,37,71,0,0,37,0,0,0,0
2020-04-05,23,20,39,0,0,0,38,0,0,0,0
2020-04-06,39,0,67,32,0,0,100,0,0,0,0
2020-04-07,33,18,0,100,63,100,0,100,0,0,0
2020-04-08,39,35,34,0,0,0,34,98,0,0,0
2020-04-09,20,54,35,0,0,0,34,0,0,0,25
2020-04-10,89,74,0,0,0,0,70,0,0,0,26
2020-04-11,29,0,0,0,68,0,74,0,0,0,27
2020-04-12,39,42,0,38,0,0,0,0,0,0,29
2020-04-13,21,0,0,0,0,0,0,0,0,0,0
2020-04-14,28,19,0,0,0,0,0,0,62,0,0
2020-04-15,41,37,0,0,64,0,35,0,0,0,26
2020-04-16,27,0,35,0,0,0,69,0,0,0,25
2020-04-17,59,0,34,0,62,0,0,0,0,0,0
2020-04-18,28,0,0,0,0,0,0,0,0,0,0
2020-04-19,23,21,0,0,0,0,0,0,0,0,29
2020-04-20,13,35,33,0,0,0,33,0,0,100,0
2020-04-21,25,17,32,0,0,0,0,0,0,0,0
2020-04-22,32,17,66,0,0,0,0,0,0,0,0
2020-04-23,49,49,0,0,0,0,62,0,0,0,0
2020-04-24,19,17,33,0,0,0,65,95,0,0,24
2020-04-25,57,0,0,0,0,0,36,0,0,0,53
2020-04-26,28,38,36,0,66,0,36,0,0,0,0
2020-04-27,6,35,0,0,0,0,0,0,0,0,0
2020-04-28,37,67,0,0,0,0,0,0,0,0,0
2020-04-29,6,16,31,0,0,0,0,0,0,0,23
2020-04-30,18,48,30,29,0,0,30,0,0,0,44
2020-05-01,20,18,35,0,0,0,0,0,0,0,0
2020-05-02,0,0,0,0,0,0,0,0,0,0,0
2020-05-03,38,0,77,0,0,0,0,0,0,0,0
2020-05-04,19,17,0,0,0,0,33,0,0,0,0
2020-05-05,18,33,0,0,0,0,31,0,0,0,0
2020-05-06,19,0,33,0,0,0,0,0,0,0,0
2020-05-07,12,0,0,0,0,0,0,0,0,92,23
2020-05-08,19,0,0,0,0,0,32,0,0,0,0
2020-05-09,13,0,0,0,0,0,34,0,0,0,25
2020-05-10,22,0,0,0,0,0,0,0,0,0,0
2020-05-11,6,0,66,0,0,0,33,0,0,0,0
2020-05-12,18,16,31,0,0,0,31,0,54,0,0
2020-05-13,18,0,0,0,0,0,0,0,0,0,22
2020-05-14,6,17,100,0,0,0,0,0,0,0,0
2020-05-15,30,0,0,0,0,0,0,91,0,0,23
2020-05-16,0,17,0,0,0,95,0,0,0,0,0
2020-05-17,41,37,0,0,0,0,0,0,0,0,0
2020-05-18,18,32,31,0,56,0,0,89,0,0,0
2020-05-19,17,15,29,56,0,0,58,0,0,0,21
2020-05-20,22,0,0,0,0,0,28,0,0,0,0
2020-05-21,23,0,0,0,0,0,0,0,0,0,0
2020-05-22,18,0,30,0,0,0,0,0,0,0,22
2020-05-23,0,0,34,0,0,0,33,0,0,0,25
2020-05-24,7,0,0,33,0,0,0,0,0,0,0
2020-05-25,0,15,28,28,0,0,28,0,50,0,0
2020-05-26,6,15,0,0,0,0,57,0,100,0,0
2020-05-27,0,0,0,0,0,0,0,0,0,0,22
2020-05-28,0,0,0,0,0,0,0,0,0,0,0
2020-05-29,6,0,0,0,0,0,0,0,0,0,22
2020-05-30,0,0,0,0,0,0,0,0,0,0,0
2020-05-31,0,18,0,0,0,0,0,0,0,0,0
2020-06-01,11,0,0,0,0,0,0,85,0,0,21
2020-06-02,0,0,29,0,0,0,0,0,0,0,21
2020-06-03,11,0,0,0,0,0,0,0,0,0,0
2020-06-04,17,0,0,0,0,84,29,0,0,0,0
2020-06-05,6,0,0,0,0,0,30,88,0,0,0
2020-06-06,6,0,0,0,0,0,0,0,0,0,0
2020-06-07,7,36,0,0,0,0,0,0,0,0,0
2020-06-08,30,0,0,29,0,0,0,0,0,0,0
2020-06-09,21,29,0,27,0,0,0,80,48,0,0
2020-06-10,11,0,0,0,0,0,0,83,50,0,0
2020-06-11,29,31,0,0,0,0,0,0,0,0,22
2020-06-12,11,0,0,0,0,0,0,0,0,0,0
2020-06-13,0,0,0,0,0,0,0,0,0,0,0
