date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,84,68,45,0,0,0,0,0,0,0,34
2020-04-02,99,59,0,0,0,0,37,57,0,0,37
2020-04-03,53,63,0,0,100,0,0,0,0,0,0
2020-04-04,64,100,0,0,0,0,0,0,0,0,72
2020-04-05,49,15,0,0,0,0,0,0,0,0,0
2020-04-06,47,28,0,0,0,0,0,0,0,0,35
2020-04-07,48,29,0,0,0,0,35,0,0,0,0
2020-04-08,91,41,0,0,0,0,0,0,48,0,0
2020-04-09,73,39,0,0,0,0,0,100,0,0,0
2020-04-10,51,45,100,0,0,0,0,0,0,100,0
2020-04-11,72,26,0,0,0,0,0,0,0,0,32
2020-04-12,61,14,0,0,85,95,0,0,48,0,68
2020-04-13,100,13,42,75,0,90,0,0,0,0,32
2020-04-14,54,0,0,0,76,0,0,0,0,0,0
2020-04-15,53,40,0,0,0,0,0,0,0,0,0
2020-04-16,54,27,45,0,0,0,0,0,0,0,0
2020-04-17,54,56,46,0,0,0,0,0,0,0,0
2020-04-18,72,28,0,0,0,0,35,0,0,0,0
2020-04-19,43,31,0,0,0,0,38,0,0,0,38
2020-04-20,31,14,46,0,0,0,0,0,100,0,0
2020-04-21,68,27,45,0,85,0,0,0,0,0,68
2020-04-22,48,57,47,0,0,0,0,0,0,0,71
2020-04-23,62,0,0,0,0,0,68,0,0,0,0
2020-04-24,46,50,0,0,0,0,0,0,0,0,0
2020-04-25,63,32,0,0,0,0,0,0,0,0,40
2020-04-26,66,17,56,0,0,0,0,0,0,0,42
2020-04-27,37,0,0,0,0,0,0,0,0,0,0
2020-04-28,42,0,0,0,94,0,0,0,0,0,0
2020-04-29,9,0,53,0,0,0,0,0,0,0,0
2020-04-30,16,14,0,0,0,0,71,0,0,0,0
2020-05-01,19,0,0,0,0,0,0,0,0,0,42
2020-05-02,53,16,0,0,0,0,0,0,0,0,79
2020-05-03,42,15,0,0,0,0,0,0,0,0,0
2020-05-04,50,15,0,0,0,0,0,0,0,0,0
2020-05-05,73,29,0,0,0,0,0,0,0,0,0
2020-05-06,41,29,0,0,0,0,0,0,0,0,37
2020-05-07,34,31,51,0,0,0,0,0,0,0,77
2020-05-08,76,68,0,0,0,0,0,0,0,0,0
2020-05-09,26,0,0,0,0,0,0,0,0,0,0
2020-05-10,17,15,0,0,0,0,0,0,0,0,0
2020-05-11,35,0,0,0,0,0,77,0,0,0,0
2020-05-12,33,15,49,0,0,0,0,57,0,0,0
2020-05-13,45,16,0,0,0,0,0,0,0,0,0
2020-05-14,34,0,50,0,0,0,0,0,54,0,38
2020-05-15,18,16,0,0,0,0,0,0,0,0,0
2020-05-16,9,0,0,0,0,0,39,0,0,0,0
2020-05-17,26,47,0,0,0,0,0,0,0,0,0
2020-05-18,42,15,0,0,0,0,37,0,54,0,38
2020-05-19,44,16,0,0,0,0,0,0,0,0,40
2020-05-20,52,15,0,0,0,0,0,0,0,0,39
2020-05-21,27,0,0,0,0,0,0,0,0,0,0
2020-05-22,0,0,0,0,0,0,0,0,0,0,0
2020-05-23,24,14,0,0,0,0,0,56,0,0,0
2020-05-24,42,15,0,0,0,0,0,0,0,0,0
2020-05-25,17,15,0,0,0,0,0,0,0,0,39
2020-05-26,23,0,0,0,88,0,0,0,0,0,0
2020-05-27,56,0,0,0,0,100,0,0,0,0,0
2020-05-28,23,14,0,0,0,0,34,0,0,0,0
2020-05-29,25,30,0,0,0,0,0,0,0,0,75
2020-05-30,49,43,48,0,0,0,0,0,0,0,36
2020-05-31,15,13,0,0,0,0,0,0,0,0,0
2020-06-01,45,13,0,0,0,0,0,0,0,0,0
2020-06-02,22,0,0,0,0,0,0,0,0,0,65
2020-06-03,7,0,0,75,0,0,0,0,0,84,32
2020-06-04,22,26,0,0,0,0,0,0,0,0,65
2020-06-05,8,0,0,0,0,0,0,0,0,0,36
2020-06-06,8,0,46,0,0,0,0,0,0,0,69
2020-06-07,16,0,0,84,0,0,70,0,0,0,36
2020-06-08,15,13,0,0,0,0,0,0,0,0,0
2020-06-09,22,0,0,0,0,0,0,0,0,0,0
2020-06-10,29,13,0,0,0,0,0,50,0,85,65
2020-06-11,23,13,45,0,0,0,100,0,0,0,0
2020-06-12,8,0,0,0,0,0,0,0,0,0,0
2020-06-13,15,13,0,0,0,0,0,0,0,0,0
2020-06-14,7,13,0,0,0,0,0,0,0,0,0
2020-06-15,16,14,0,0,0,0,35,0,0,0,0
2020-06-16,14,0,0,0,0,0,32,0,0,0,32
2020-06-17,15,0,0,0,83,0,0,0,0,0,0
2020-06-18,23,13,0,0,0,0,0,0,0,0,0
2020-06-19,25,15,0,0,0,0,0,0,0,0,0
2020-06-20,8,0,0,0,0,0,33,0,0,0,0
2020-06-21,0,0,0,0,0,0,0,0,0,0,67
2020-06-22,7,0,43,0,0,0,0,0,0,0,0
2020-06-23,22,0,0,0,0,0,32,0,0,0,33
2020-06-24,0,0,0,0,0,0,0,0,0,0,0
2020-06-25,0,0,0,0,0,0,0,0,0,0,0
2020-06-26,9,0,0,0,0,0,38,0,0,0,0
2020-06-27,23,14,46,0,0,0,0,53,0,0,0
2020-06-28,15,0,0,0,0,0,32,0,0,0,0
2020-06-29,15,0,44,79,0,0,0,0,0,0,34
2020-06-30,0,13,0,0,0,0,33,0,0,0,34
2020-07-01,8,0,0,0,0,0,0,52,0,0,34
2020-07-02,8,0,0,0,0,0,0,0,0,0,35
2020-07-03,16,0,0,0,0,0,0,0,0,0,0
2020-07-04,8,0,0,83,0,0,35,0,0,0,0
2020-07-05,7,0,0,0,0,0,0,0,0,0,0
2020-07-06,15,13,44,0,0,0,0,52,0,0,34
2020-07-07,15,13,0,0,0,0,0,0,0,0,0
2020-07-08,7,0,0,0,0,0,0,0,0,0,0
2020-07-09,22,0,44,0,84,0,0,0,0,0,0
2020-07-10,17,0,0,0,0,0,0,0,0,0,39
2020-07-11,8,0,47,0,0,0,0,0,0,0,0
2020-07-12,8,27,0,0,0,0,0,0,0,0,0
2020-07-13,8,0,0,0,0,0,0,0,0,0,35
2020-07-14,7,0,0,0,0,0,0,0,0,0,0
2020-07-15,15,0,0,0,0,0,0,0,0,0,34
2020-07-16,7,0,0,0,0,0,0,0,0,0,0
2020-07-17,16,29,48,0,0,0,0,0,0,0,36
2020-07-18,0,0,0,0,0,0,0,0,0,0,0
