date,Corona,Corona virus,Covid cases,Face mask,Hand sanitizer,Hand wash,Lockdown,N95,PPE,Social distancing,Vaccine
2020-04-01,43,20,0,0,0,0,0,0,0,0,56
2020-04-02,94,45,0,0,47,0,36,0,100,0,33
2020-04-03,47,22,39,0,58,0,45,0,0,0,21
2020-04-04,75,36,0,0,0,0,48,0,0,100,0
2020-04-05,43,68,0,0,0,0,0,0,0,0,100
2020-04-06,73,100,35,36,52,0,40,0,0,0,0
2020-04-07,94,100,0,0,52,0,40,0,0,0,18
2020-04-08,77,32,0,0,0,0,0,0,0,0,19
2020-04-09,100,74,0,0,0,0,0,0,0,0,0
2020-04-10,46,22,0,0,0,0,0,0,61,0,0
2020-04-11,24,11,0,0,0,0,0,0,0,0,0
2020-04-12,39,50,0,0,0,0,0,0,0,0,0
2020-04-13,0,11,40,0,0,0,0,0,0,0,21
2020-04-14,20,19,0,0,0,0,0,0,0,0,18
2020-04-15,39,19,0,0,0,0,0,0,0,0,0
2020-04-16,41,20,34,0,51,0,0,0,54,0,0
2020-04-17,45,11,38,0,0,0,44,0,0,0,0
2020-04-18,0,13,46,0,0,0,0,0,0,0,24
2020-04-19,52,25,44,0,0,0,0,0,0,0,23
2020-04-20,22,32,0,0,55,0,0,0,0,0,20
2020-04-21,69,44,0,0,0,0,0,0,0,0,0
2020-04-22,63,20,0,36,0,0,0,100,56,0,0
2020-04-23,44,32,0,0,0,0,0,0,0,0,0
2020-04-24,32,0,0,0,0,0,0,0,0,0,0
2020-04-25,12,12,0,42,0,0,0,0,0,0,0
2020-04-26,61,12,0,0,0,0,0,0,0,0,0
2020-04-27,30,0,0,0,0,0,0,0,0,79,0
2020-04-28,10,10,0,34,0,0,0,0,0,0,17
2020-04-29,33,0,37,38,0,0,0,0,0,0,0
2020-04-30,19,0,0,0,0,0,0,0,0,0,0
2020-05-01,0,0,0,0,0,0,0,0,0,0,0
2020-05-02,29,14,0,0,0,0,0,0,0,0,0
2020-05-03,0,24,0,0,0,0,0,0,0,0,0
2020-05-04,0,9,0,33,0,0,37,0,0,0,17
2020-05-05,9,0,0,32,0,0,36,0,0,0,16
2020-05-06,9,9,0,0,0,0,0,0,0,0,0
2020-05-07,0,17,0,63,45,0,0,0,0,0,0
2020-05-08,20,19,0,34,0,0,0,0,0,0,17
2020-05-09,22,0,0,0,0,0,0,0,0,0,0
2020-05-10,24,34,0,0,0,0,0,0,0,0,0
2020-05-11,18,8,0,0,0,0,0,0,0,70,0
2020-05-12,10,9,0,0,0,0,0,0,0,0,0
2020-05-13,0,9,0,33,0,0,0,0,0,0,0
2020-05-14,0,9,0,0,0,0,35,0,0,0,0
2020-05-15,21,10,0,0,0,0,0,0,0,0,0
2020-05-16,12,12,0,0,0,0,0,0,0,0,0
2020-05-17,32,10,0,0,0,0,41,0,0,0,19
2020-05-18,19,27,0,0,0,0,0,0,0,0,0
2020-05-19,0,9,0,0,0,0,0,0,0,0,0
2020-05-20,9,9,0,0,0,0,0,0,0,0,16
2020-05-21,9,18,0,0,0,0,0,0,0,0,0
2020-05-22,10,9,0,0,0,0,0,0,0,0,0
2020-05-23,23,22,0,0,0,0,0,0,0,0,20
2020-05-24,11,0,0,0,0,0,0,0,0,0,0
2020-05-25,26,0,0,0,0,0,0,0,0,0,0
2020-05-26,9,9,0,0,0,0,0,0,0,0,0
2020-05-27,0,0,0,0,0,0,0,0,0,0,0
2020-05-28,0,18,0,0,0,0,0,0,0,0,0
2020-05-29,0,0,0,0,0,0,0,0,0,0,19
2020-05-30,0,0,0,0,0,0,0,0,0,0,0
2020-05-31,11,11,0,0,0,0,0,0,0,0,0
2020-06-01,9,0,0,0,0,0,0,0,0,0,0
2020-06-02,0,8,0,0,0,0,100,0,0,0,0
2020-06-03,8,8,0,0,0,0,0,0,0,0,0
2020-06-04,16,16,0,0,0,0,0,0,0,0,0
2020-06-05,21,0,0,0,0,0,0,0,55,0,0
2020-06-06,12,0,0,0,0,0,0,0,0,0,0
2020-06-07,11,10,0,0,0,0,0,0,0,0,0
2020-06-08,0,0,0,0,0,0,0,0,0,0,0
2020-06-09,0,0,0,0,0,0,0,0,0,0,0
2020-06-10,19,0,0,0,0,0,0,0,0,76,0
2020-06-11,0,9,0,0,0,0,0,0,0,0,0
2020-06-12,11,0,0,0,0,0,0,0,0,0,19
2020-06-13,0,0,0,0,0,0,0,0,0,0,0
2020-06-14,0,0,0,0,0,0,0,0,0,0,0
2020-06-15,0,0,0,0,0,0,0,0,0,0,0
2020-06-16,10,0,0,0,0,0,0,0,0,0,0
2020-06-17,19,0,0,0,0,0,0,0,0,0,0
2020-06-18,0,0,0,0,0,0,0,0,0,0,0
2020-06-19,10,10,0,0,0,0,0,0,0,0,0
2020-06-20,35,33,0,0,0,0,0,0,0,0,0
2020-06-21,11,0,0,0,0,100,0,0,0,0,0
2020-06-22,0,0,0,0,0,0,0,0,0,0,0
2020-06-23,0,9,0,0,0,0,36,0,0,0,0
2020-06-24,9,0,0,0,0,0,0,0,0,0,0
2020-06-25,0,9,0,0,0,0,0,0,0,0,0
2020-06-26,0,11,0,39,0,0,0,0,0,0,0
2020-06-27,24,11,0,0,0,0,92,0,0,0,0
2020-06-28,0,0,0,0,0,0,50,0,0,0,0
2020-06-29,0,0,0,0,0,0,0,0,0,0,0
